target	seed	sample	method	lig_id	iptm	is_succ	is_proper	lig_rmsd_ch_mapping	lig_rmsd	lddt_pli	lddt_lp	bb_rmsd_lp	rec_rmsd	rec_lddt	tm_score	rec_ch_mapping	sucos_shape	pocket_qcov	sucos_shape_pocket_qcov
A71EV2A-x4390a	seed_1832854922	0	boltz-2	DMS-1-C-lig	0.8253618478775024	False	False	C:B	12.979898452758789	0.0	0.9729166666666667	0.08017867058515549	16.105	0.836	0.575	A:A,C:B	None	None	None
A71EV2A-x4390a	seed_1832854922	0	boltz-2	LIG1-1-D-lig	0.8253618478775024	False	True	A:A	5.686546325683594	0.2669057250022888	0.888021778584392	0.4626616835594177	16.105	0.836	0.575	A:A,C:B	59.09743410245402	76.92307692307692	45.45956469419539
A71EV2A-x4390a	seed_1832854922	0	boltz-2	ZN-1-E-lig	0.8253618478775024	True	False	A:A	0.12182274460792542	0.9897959232330322	1.0	0.10822496563196182	16.105	0.836	0.575	A:A,C:B	None	None	None
A71EV2A-x4390a	seed_1832854922	1	boltz-2	DMS-1-C-lig	0.6631203889846802	False	False	C:B	14.146903038024902	0.0	0.99375	0.0732991173863411	15.919	0.839	0.588	A:A,C:B	None	None	None
A71EV2A-x4390a	seed_1832854922	1	boltz-2	LIG1-1-D-lig	0.6631203889846802	False	True	A:A	3.3781850337982178	0.6110405921936035	0.8818511796733213	0.45059677958488464	15.919	0.839	0.588	A:A,C:B	59.09743410245402	76.92307692307692	45.45956469419539
A71EV2A-x4390a	seed_1832854922	1	boltz-2	ZN-1-E-lig	0.6631203889846802	True	False	C:A	0.13015347719192505	0.9795918464660645	1.0	0.09945584088563919	15.919	0.839	0.588	A:A,C:B	None	None	None
A71EV2A-x4390a	seed_2012026466	2	boltz-2	DMS-1-C-lig	0.75862056016922	False	False	C:B	14.261921882629395	0.0	0.9854166666666667	0.06684599816799164	16.245	0.833	0.583	A:A,C:B	None	None	None
A71EV2A-x4390a	seed_2012026466	2	boltz-2	LIG1-1-D-lig	0.75862056016922	False	True	A:A	5.282953262329102	0.2938871383666992	0.8332123411978222	0.6505566239356995	16.245	0.833	0.583	A:A,C:B	59.09743410245402	76.92307692307692	45.45956469419539
A71EV2A-x4390a	seed_2012026466	2	boltz-2	ZN-1-E-lig	0.75862056016922	True	False	C:A	0.07698212563991547	0.9759615659713745	1.0	0.08794067800045013	16.245	0.833	0.583	A:A,C:B	None	None	None
A71EV2A-x4390a	seed_2012026466	3	boltz-2	DMS-1-C-lig	0.7770956754684448	False	False	C:B	14.022141456604004	0.0	0.9791666666666666	0.08553292602300644	15.921	0.835	0.58	A:A,C:B	None	None	None
A71EV2A-x4390a	seed_2012026466	3	boltz-2	LIG1-1-D-lig	0.7770956754684448	False	True	A:A	4.924517631530762	0.3552934527397156	0.8470961887477314	0.6128702163696289	15.921	0.835	0.58	A:A,C:B	59.09743410245402	76.92307692307692	45.45956469419539
A71EV2A-x4390a	seed_2012026466	3	boltz-2	ZN-1-E-lig	0.7770956754684448	True	False	A:A	0.13430000841617584	0.9850000143051147	1.0	0.09720417857170105	15.921	0.835	0.58	A:A,C:B	None	None	None
A71EV2A-x4390a	seed_2012026466	0	boltz-2	DMS-1-C-lig	0.878668487071991	False	False	C:B	10.411810874938965	0.003086419776082039	0.95	0.062111999839544296	16.702	0.841	0.585	A:A,C:B	None	None	None
A71EV2A-x4390a	seed_2012026466	0	boltz-2	LIG1-1-D-lig	0.878668487071991	False	True	A:A	3.3252925872802734	0.6169354915618896	0.897005444646098	0.5039893388748169	16.702	0.841	0.585	A:A,C:B	59.09743410245402	76.92307692307692	45.45956469419539
A71EV2A-x4390a	seed_2012026466	0	boltz-2	ZN-1-E-lig	0.878668487071991	True	False	C:A	0.08990166336297989	0.9850000143051147	1.0	0.07574518769979477	16.702	0.841	0.585	A:A,C:B	None	None	None
A71EV2A-x4390a	seed_2012026466	4	boltz-2	DMS-1-C-lig	0.659456193447113	False	False	C:A	10.120508193969727	0.009999999776482582	0.9895833333333334	0.080476313829422	16.014	0.836	0.582	A:A,C:B	None	None	None
A71EV2A-x4390a	seed_2012026466	4	boltz-2	LIG1-1-D-lig	0.659456193447113	False	True	A:A	4.955808639526367	0.3350694477558136	0.8556261343012704	0.5201059579849243	16.014	0.836	0.582	A:A,C:B	59.09743410245402	76.92307692307692	45.45956469419539
A71EV2A-x4390a	seed_2012026466	4	boltz-2	ZN-1-E-lig	0.659456193447113	True	False	A:A	0.10478931665420532	0.9800000190734863	1.0	0.07989539206027985	16.014	0.836	0.582	A:A,C:B	None	None	None
A71EV2A-x4390a	seed_2012026466	1	boltz-2	DMS-1-C-lig	0.8502607941627502	False	False	C:B	13.420302391052246	0.0	0.9333333333333333	0.06850586831569672	16.846	0.835	0.597	A:A,C:B	None	None	None
A71EV2A-x4390a	seed_2012026466	1	boltz-2	LIG1-1-D-lig	0.8502607941627502	False	True	A:A	3.8311240673065186	0.5701183676719666	0.8663793103448276	0.49224621057510376	16.846	0.835	0.597	A:A,C:B	59.09743410245402	76.92307692307692	45.45956469419539
A71EV2A-x4390a	seed_2012026466	1	boltz-2	ZN-1-E-lig	0.8502607941627502	True	False	C:A	0.12050534784793854	0.9897959232330322	1.0	0.07953272759914398	16.846	0.835	0.597	A:A,C:B	None	None	None
